name	shape	status	lr	optimizer
transformer.double_blocks.4._checkpoint_wrapped_module.action_xattn_proj.bias	1024	trainable	0.0001	adamw
transformer.double_blocks.4._checkpoint_wrapped_module.action_xattn_mod.weight	12288x1024	trainable	0.0001	muon
transformer.double_blocks.4._checkpoint_wrapped_module.action_xattn_mod.bias	12288	trainable	0.0001	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_mod.linear.base_layer.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_mod.linear.base_layer.bias	12288	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_mod.linear.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_mod.linear.lora_B.default.weight	12288x64	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_q_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.5._checkpoint_wrapped_module.img_attn_k_norm.weight	128	trainable	1e-05	adamw
